symbol,days,trending_scale,pnl,trades,final_capital
SOL/USDT,30,0.0,-28.650479679299995,5,971.3495203207001
SOL/USDT,30,0.25,-40.669252076774995,7,959.3307479232251
SOL/USDT,30,0.5,-33.49212203484997,7,966.5078779651501
SOL/USDT,30,0.75,-26.31499199292501,7,973.6850080070751
SOL/USDT,30,1.0,-19.137861950999984,7,980.8621380490001
SOL/USDT,45,0.0,-28.650479679299995,5,971.3495203207001
SOL/USDT,45,0.25,-40.669252076774995,7,959.3307479232251
SOL/USDT,45,0.5,-33.49212203484997,7,966.5078779651501
SOL/USDT,45,0.75,-26.31499199292501,7,973.6850080070751
SOL/USDT,45,1.0,-19.137861950999984,7,980.8621380490001
SOL/USDT,60,0.0,-28.650479679299995,5,971.3495203207001
SOL/USDT,60,0.25,-40.669252076774995,7,959.3307479232251
SOL/USDT,60,0.5,-33.49212203484997,7,966.5078779651501
SOL/USDT,60,0.75,-26.31499199292501,7,973.6850080070751
SOL/USDT,60,1.0,-19.137861950999984,7,980.8621380490001
ETH/USDT,30,0.0,-25.736593112300007,2,974.2634068877
ETH/USDT,30,0.25,-6.434148278075002,2,993.565851721925
ETH/USDT,30,0.5,-12.868296556150003,2,987.1317034438499
ETH/USDT,30,0.75,-19.302444834225007,2,980.6975551657749
ETH/USDT,30,1.0,-25.736593112300007,2,974.2634068877
ETH/USDT,45,0.0,-25.736593112300007,2,974.2634068877
ETH/USDT,45,0.25,-6.434148278075002,2,993.565851721925
ETH/USDT,45,0.5,-12.868296556150003,2,987.1317034438499
ETH/USDT,45,0.75,-19.302444834225007,2,980.6975551657749
ETH/USDT,45,1.0,-25.736593112300007,2,974.2634068877
ETH/USDT,60,0.0,-25.736593112300007,2,974.2634068877
ETH/USDT,60,0.25,-6.434148278075002,2,993.565851721925
ETH/USDT,60,0.5,-12.868296556150003,2,987.1317034438499
ETH/USDT,60,0.75,-19.302444834225007,2,980.6975551657749
ETH/USDT,60,1.0,-25.736593112300007,2,974.2634068877
