symbol,days,trending_scale,pnl,trades,final_capital
SOL/USDT,30,0.0,-38.163097407600006,3,961.8369025924001
SOL/USDT,30,0.25,-11.819085170475004,3,988.1809148295249
SOL/USDT,30,0.5,-20.600422582850015,3,979.3995774171501
SOL/USDT,30,0.75,-29.381759995224993,3,970.618240004775
SOL/USDT,30,1.0,-38.163097407600006,3,961.8369025924001
SOL/USDT,45,0.0,-15.75878022729999,2,984.2412197727001
SOL/USDT,45,0.25,-6.21800587539999,2,993.7819941246
SOL/USDT,45,0.5,-9.398263992700004,2,990.6017360073
SOL/USDT,45,0.75,-12.578522109999998,2,987.42147789
SOL/USDT,45,1.0,-15.75878022729999,2,984.2412197727001
SOL/USDT,60,0.0,-28.650479679299995,5,971.3495203207001
SOL/USDT,60,0.25,-40.669252076774995,7,959.3307479232251
SOL/USDT,60,0.5,-33.49212203484997,7,966.5078779651501
SOL/USDT,60,0.75,-26.31499199292501,7,973.6850080070751
SOL/USDT,60,1.0,-19.137861950999984,7,980.8621380490001
ETH/USDT,30,0.0,-55.39093129080002,3,944.6090687091998
ETH/USDT,30,0.25,-13.847732822700005,3,986.1522671773
ETH/USDT,30,0.5,-27.69546564540001,3,972.3045343545999
ETH/USDT,30,0.75,-41.54319846809999,3,958.4568015318999
ETH/USDT,30,1.0,-55.39093129080002,3,944.6090687091998
ETH/USDT,45,0.0,-25.736593112300007,2,974.2634068877
ETH/USDT,45,0.25,-6.434148278075002,2,993.565851721925
ETH/USDT,45,0.5,-12.868296556150003,2,987.1317034438499
ETH/USDT,45,0.75,-19.302444834225007,2,980.6975551657749
ETH/USDT,45,1.0,-25.736593112300007,2,974.2634068877
ETH/USDT,60,0.0,-25.736593112300007,2,974.2634068877
ETH/USDT,60,0.25,-6.434148278075002,2,993.565851721925
ETH/USDT,60,0.5,-12.868296556150003,2,987.1317034438499
ETH/USDT,60,0.75,-19.302444834225007,2,980.6975551657749
ETH/USDT,60,1.0,-25.736593112300007,2,974.2634068877
