symbol,policy,scale,pnl,trades,final_capital,trending_trade_pnl
SOL/USDT,ALWAYS,1.0,-19.137861950999984,7,980.8621380490001,
SOL/USDT,PAUSE,0.0,-28.650479679299995,5,971.3495203207001,0.0
SOL/USDT,REDUCE_EXPOSURE,0.25,-40.669252076774995,7,959.3307479232251,4.756308864150001
SOL/USDT,REDUCE_EXPOSURE,0.5,-33.49212203484997,7,966.5078779651501,9.512617728300011
SOL/USDT,REDUCE_EXPOSURE,0.75,-26.31499199292501,7,973.6850080070751,14.268926592450017
ETH/USDT,ALWAYS,1.0,-25.736593112300007,2,974.2634068877,
ETH/USDT,PAUSE,0.0,-25.736593112300007,2,974.2634068877,0.0
ETH/USDT,REDUCE_EXPOSURE,0.25,-6.434148278075002,2,993.565851721925,0.0
ETH/USDT,REDUCE_EXPOSURE,0.5,-12.868296556150003,2,987.1317034438499,0.0
ETH/USDT,REDUCE_EXPOSURE,0.75,-19.302444834225007,2,980.6975551657749,0.0
